uuid,star,vsini,snr,rv,instr,obspath,logg,teff,wlmin,wlmax,rowid,,
306738,TWA9A,10.60,85.00,0,100000.0,data/306738.ascii,4.0,4000,22078.923;22229.535;22271.700;22306.810,22088.274;22235.770;22277.278;22315.014,0,ipython magnotron.py,0
306740,TWA9A,10.60,204.00,0,100000.0,data/306740.ascii,4.0,4000,22078.923;22229.535;22271.700;22306.810,22088.274;22235.770;22277.278;22315.014,1,ipython magnotron.py,1
306741,TWA9A,10.60,226.00,0,100000.0,data/306741.ascii,4.0,4000,22078.923;22229.535;22271.700;22306.810,22088.274;22235.770;22277.278;22315.014,2,ipython magnotron.py,2
306756,ROX6,5.50,156.59,0,100000.0,data/306756.ascii,3.5,4000,22081.100;22231.409;22271.883;22306.802,22086.179;22235.060;22275.692;22313.627,3,ipython magnotron.py,3
306757,ROX6,5.50,202.39,0,100000.0,data/306757.ascii,3.5,4000,22081.100;22231.409;22271.883;22306.802,22086.179;22235.060;22275.692;22313.627,4,ipython magnotron.py,4
306758,ROX6,5.50,183.10,0,100000.0,data/306758.ascii,3.5,4000,22081.100;22231.409;22271.883;22306.802,22086.179;22235.060;22275.692;22313.627,5,ipython magnotron.py,5
306733,TWA8A,4.40,73.94,0,100000.0,data/306733.ascii,4.0,3400,22080.0;22229.202;22271.388;22306.021,22087.7;22238.034;22277.199;22314.853,6,ipython magnotron.py,6
306735,TWA8A,4.40,73.39,0,100000.0,data/306735.ascii,4.0,3400,22080.0;22229.202;22271.388;22306.021,22087.7;22238.034;22277.199;22314.853,7,ipython magnotron.py,7
306736,TWA8A,4.40,75.55,0,100000.0,data/306736.ascii,4.0,3400,22080.0;22229.202;22271.388;22306.021,22087.7;22238.034;22277.199;22314.853,8,ipython magnotron.py,8
306730,TWHYA,4.00,89.07,0,100000.0,data/306730.ascii,4.0,4000,22081.8;22229.375;22271.752;22306.293,22086.893;22235.612;22277.148;22315.888,9,ipython magnotron.py,9
306731,TWHYA,4.00,99.33,0,100000.0,data/306731.ascii,4.0,4000,22081.8;22229.375;22271.752;22306.293,22086.893;22235.612;22277.148;22315.888,10,ipython magnotron.py,10
306732,TWHYA,4.00,102.15,0,100000.0,data/306732.ascii,4.0,4000,22081.8;22229.375;22271.752;22306.293,22086.893;22235.612;22277.148;22315.888,11,ipython magnotron.py,11
306749,V1121OPH,9.70,127.616,0,100000.0,data/306749.ascii,3.5,4500,22080.356;22230.807;22272.233;22306.755,22087.421;22235.464;22276.569;22313.981,12,ipython magnotron.py,12
306751,V1121OPH,9.70,201.463,0,100000.0,data/306751.ascii,3.5,4500,22080.356;22230.807;22272.233;22306.755,22087.421;22235.464;22276.569;22313.981,13,ipython magnotron.py,13
306752,V1121OPH,9.70,184.225,0,100000.0,data/306752.ascii,3.5,4500,22080.356;22230.807;22272.233;22306.755,22087.421;22235.464;22276.569;22313.981,14,ipython magnotron.py,14
306743,V2129OPH,14.60,176.664,0,100000.0,data/306743.ascii,3.5,4500,22079.;22229.3;22271.7;22304.1,22087.6;22236.7;22277.2;22315.3,15,ipython magnotron.py,15
306744,V2129OPH,14.60,146.164,0,100000.0,data/306744.ascii,3.5,4500,22079.;22229.3;22271.7;22304.1,22087.6;22236.7;22277.2;22315.3,16,ipython magnotron.py,16
306745,V2129OPH,14.60,146.699,0,100000.0,data/306745.ascii,3.5,4500,22079.;22229.3;22271.7;22304.1,22087.6;22236.7;22277.2;22315.3,17,ipython magnotron.py,17
306760,V2247OPH,19.5,164,0,100000,data/306760.ascii,3.5,3500,22079.357;22228.749;22271.637;22307.191,22088.285;22237.199;22276.739;22315.163,18,ipython magnotron.py,18
306726,TWA7,4.1,61,0,100000,data/306726.ascii,4.0,3300,22082.0;22272.2;22307.4,22085.8;22275.9;22313.9,19,ipython magnotron.py,19
306727,TWA7,4.1,63,0,100000,data/306727.ascii,4.0,3300,22082.0;22229.8;22272.2;22307.4,22085.8;22235.1;22275.9;22313.9,20,ipython magnotron.py,20
3067270,TWA7,4.1,71,0,100000,data/306727a.ascii,4.0,3300,22082.0;22229.8;22272.2;22307.4,22085.8;22235.1;22275.9;22313.9,21,ipython magnotron.py,21
306728,TWA7,4.1,62,0,100000,data/306728.ascii,4.0,3300,22082.0;22229.8;22272.2;22307.4,22085.8;22235.1;22275.9;22313.9,22,ipython magnotron.py,22
3067280,TWA7,4.1,70,0,100000,data/306728a.ascii,4.0,3300,22082.0;22229.8;22272.2;22307.4,22085.8;22235.1;22275.9;22313.9,23,ipython magnotron.py,23
