uuid	iter	Bmin	BBest	<BBest>	BBest-<BBest>	Bmax	chi²	AIC	BIC	acceptance fraction	ESSmin
306726	1	2.507345778619862	2.7013799854071374	 	 	2.8666125971225487	3.5	148.7	157.22165044959928	63.52083333333333	2537.039400591835	
306727	1	2.559418341437684	2.6984873649846923	 	 	2.8269308289927806	5.0	450.8	460.30748542379206	64.143	3058.1393429149434	
306728	1	2.664844754516644	2.809541955126313	 	 	2.949505549134793	6.0	620.7	630.0906452235348	64.4576666666667	2937.8339808952314	
3067270	2	2.4506476474938537	2.6147033830523934	 	 	2.790520151475522	4.9	412.1	424.7445725660149	59.08404761904761	2558.4576031826277	
3067280	2	2.537533024347898	2.7177765886760956	 	 	2.894594354792896	9.7	1234.5	1247.0873036409334	59.19874999999999	2530.074748551853	
306733	3	3.8728279101957295	4.013097059768012	 	 	4.151908125560978	3.5	260.7	278.812630460103	51.358809523809526	2849.8561396900873	
306735	3	3.9009823093984672	4.042780128748439	 	 	4.180706137901404	3.5	280.1	298.1337127599943	51.10261904761904	2673.978157263536	
306736	3	3.982400770861103	4.119647381846075	 	 	4.253800838943063	3.3	218.1	236.1038006995507	51.481428571428566	2643.4079017970307	
306760	2	2.558201947163175	2.6862588330959545	 	 	2.8173403142234124	2.5	-202.6	-188.27312391786518	59.21857142857144	2853.7161776880125	
306756	1	1.2756041263927942	1.3903181236689983	 	 	1.5057895470745812	3.5	46.9	56.333581065465005	64.31944444444447	2643.0055925136107	
306757	1	1.1597564779330731	1.2497921792113411	 	 	1.3379204582255015	6.0	420.9	430.38064376605695	64.29119047619048	2812.8814030633753	
306758	1	1.3203659848266809	1.4176653561804868	 	 	1.517565207104275	3.5	19.7	29.09380633941526	64.56690476190478	2817.736588122375	
306738	2	2.934634396619244	3.1001720641613515	 	 	3.2434877647913254	5.2	623.8	637.8572395529839	58.07199999999999	3081.102050532144	
306740	2	2.93958531390545	2.994198426339717	 	 	3.043333484642248	5.8	584.8	599.0230272017036	55.433611111111105	2934.868699668824	
306741	2	2.5689479831335107	2.634045279025941	 	 	2.7004010892891057	9.4	1457.2	1471.3463877128077	59.09738095238096	2865.21236802047	
306730	2	3.3109974647315576	3.4129256171984803	 	 	3.514490557432148	6.8	1013.2	1027.281909324224	55.20119047619048	2994.375905464891	
306731	2	2.836357905981848	2.9413924069280144	 	 	3.040400903206232	8.6	1525.5	1539.8695465218445	56.127	2587.0457886134186	
306732	2	3.136484329595662	3.236970745154318	 	 	3.3309111792974018	5.3	624.4	638.5704766009833	57.05666666666666	2996.8940620379626	
306743	6	4.221899318219962	4.554561440485542	 	 	4.8918820881063345	2.6	-219.4	-190.0773463058252	38.86607843137255	2696.730478592536	
306744	3	3.826148178887805	3.983572252854564	 	 	4.128926416580372	4.0	234.0	252.4402477695977	51.27738095238095	2707.849597201705	
306745	3	3.827653772709314	3.984097246527528	 	 	4.1164407171026856	4.3	323.7	342.12660466752897	48.84944444444446	2544.827638871824	
306749	6	3.6335242713552898	4.351771023278372	 	 	5.045438207480308	2.9	-29.0	-2.7443763946899864	39.933703703703706	2589.320884467068	
306751	4	3.402884021543261	3.5493479908890846	 	 	3.6966289333324736	3.4	-23.3	-3.4757772629228403	51.36000000000001	2500.175016968524	
306752	4	3.443042758361253	3.600212582808926	 	 	3.75783939181754	2.8	-125.5	-105.64738613369238	49.83883333333334	2791.5841236339647	
