uuid	iter	Bmin	BBest	<BBest>	BBest-<BBest>	Bmax	chi²	AIC	BIC	acceptance fraction	ESSmin
306726	2	2.5277594352433206	2.7276157516592936	 	 	2.9168216114774053	3.6	152.0	163.3949512607022	53.95555555555556	2619.6606319332573	
306727	2	2.586961537842832	2.745515418303306	 	 	2.933471899037326	5.0	453.4	465.98741693304163	55.97380952380953	2838.5136047746	
306728	2	2.686763556150903	2.8456723940546857	 	 	3.0206168807050044	6.1	623.6	636.1278336782872	55.45833333333333	2704.545413079989	
3067270	2	2.4506476474938537	2.6147033830523934	 	 	2.790520151475522	4.9	412.1	424.7445725660149	59.08404761904761	2558.4576031826277	
3067280	2	2.537533024347898	2.7177765886760956	 	 	2.894594354792896	9.7	1234.5	1247.0873036409334	59.19874999999999	2530.074748551853	
306733	2	3.5863439468939036	3.684677183614293	 	 	3.7779720502190015	3.7	333.9	348.37023265445833	55.34138888888889	3046.965200903397	
306735	2	3.618836767932055	3.714623372529617	 	 	3.8111291063414905	3.8	350.0	364.3931488142443	55.17866666666666	2707.653205911082	
306736	2	3.635504347271192	3.7307286459010234	 	 	3.823282545955898	3.7	328.0	342.4001023270709	55.40761904761905	2956.1385247655126	
306760	2	2.558201947163175	2.6862588330959545	 	 	2.8173403142234124	2.5	-202.6	-188.27312391786518	59.21857142857144	2853.7161776880125	
306756	2	1.281534191756929	1.3966815641343024	 	 	1.51265394175244	3.6	50.2	62.86981848454929	54.91833333333332	2607.4900481249833	
306757	2	1.1629679947820906	1.2539286939885712	 	 	1.3434507487273748	6.1	424.3	436.91936912874894	54.89583333333334	2649.340291671873	
306758	2	1.3236264681888958	1.4233874360653114	 	 	1.523921766655211	3.6	23.1	35.568706341984075	54.82483333333335	2753.224908287505	
306738	2	2.934634396619244	3.1001720641613515	 	 	3.2434877647913254	5.2	623.8	637.8572395529839	58.07199999999999	3081.102050532144	
306740	2	2.93958531390545	2.994198426339717	 	 	3.043333484642248	5.8	584.8	599.0230272017036	55.433611111111105	2934.868699668824	
306741	2	2.5689479831335107	2.634045279025941	 	 	2.7004010892891057	9.4	1457.2	1471.3463877128077	59.09738095238096	2865.21236802047	
306730	2	3.3109974647315576	3.4129256171984803	 	 	3.514490557432148	6.8	1013.2	1027.281909324224	55.20119047619048	2994.375905464891	
306731	2	2.836357905981848	2.9413924069280144	 	 	3.040400903206232	8.6	1525.5	1539.8695465218445	56.127	2587.0457886134186	
306732	2	3.136484329595662	3.236970745154318	 	 	3.3309111792974018	5.3	624.4	638.5704766009833	57.05666666666666	2996.8940620379626	
306743	2	3.307472977652677	3.44841811466291	 	 	3.5648014475830094	3.5	33.7	48.34911331947158	54.581428571428575	2572.5335595333863	
306744	2	3.532935419287194	3.647815667303026	 	 	3.747751186306781	4.2	296.8	311.4710156419395	53.00833333333333	2902.2185248085907	
306745	2	3.4526855961341782	3.5727522864395267	 	 	3.668273805434081	4.7	439.6	454.3232054618519	54.50309523809522	2738.9356349607324	
306749	2	2.7827987666862675	2.924044103384058	 	 	3.0645297026303187	3.3	50.1	63.20809004467583	59.216190476190484	2852.446008845751	
306751	2	2.878337862947784	2.967647459957504	 	 	3.0573219715162874	4.6	222.7	235.96517592864484	59.20722222222222	2728.878101467695	
306752	2	2.8859010766918933	2.9834923590905564	 	 	3.079441902808365	4.1	135.0	148.22216647557428	59.33027777777779	2773.603462103189	
